Designator,Footprint,MidX,MidY,Layer,Rotation,Comment
C1,C_0402_1005Metric,182.125,-109.975,B,90,10u
C2,C_0402_1005Metric,150.375,-118.505,B,-90,15p
C3,C_0402_1005Metric,155.575,-118.525,B,90,15p
C4,C_0402_1005Metric,171.275,-116.945,B,90,10u
C5,C_0402_1005Metric,126.675,-112.875,B,0,100n
C6,C_0402_1005Metric,131.335,-116.175,B,180,100n
C7,C_0402_1005Metric,170.325,-116.945,B,90,100n
C8,C_0402_1005Metric,136.945,-119.375,B,180,1u
C9,C_0402_1005Metric,131.325,-118.975,B,180,100n
C10,C_0402_1005Metric,136.945,-120.325,B,180,1u
C11,C_0402_1005Metric,173.175,-116.945,B,90,100n
C12,C_0402_1005Metric,172.225,-116.925,B,90,100n
C13,C_0402_1005Metric,131.345,-117.105,B,180,100n
C14,C_0402_1005Metric,131.345,-118.025,B,180,100n
C15,C_0402_1005Metric,142.695,-105.555,B,90,100n
C16,C_0402_1005Metric,141.775,-105.555,B,90,100n
D1,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,43.18,-41.13,B,90,DIODE
D2,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,62.23,-41.13,B,90,DIODE
D3,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,81.28,-41.13,B,90,DIODE
D4,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,100.33,-41.13,B,90,DIODE
D5,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,119.38,-41.13,B,90,DIODE
D6,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,138.43,-41.13,B,90,DIODE
D7,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,157.48,-41.13,B,90,DIODE
D8,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,176.53,-41.13,B,90,DIODE
D9,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,195.58,-41.13,B,90,DIODE
D10,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,214.63,-41.13,B,90,DIODE
D11,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,233.68,-41.13,B,90,DIODE
D12,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,252.73,-41.13,B,90,DIODE
D13,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,271.78,-41.13,B,90,DIODE
D14,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,300.355,-41.13,B,90,DIODE
D15,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,47.9425,-60.18,B,90,DIODE
D16,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,71.755,-60.18,B,90,DIODE
D17,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,90.805,-60.18,B,90,DIODE
D18,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,109.855,-60.18,B,90,DIODE
D19,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,128.905,-60.18,B,90,DIODE
D20,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,147.955,-60.18,B,90,DIODE
D21,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,167.005,-60.18,B,90,DIODE
D22,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,186.055,-60.18,B,90,DIODE
D23,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,205.105,-60.18,B,90,DIODE
D24,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,224.155,-60.18,B,90,DIODE
D25,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,243.205,-60.18,B,90,DIODE
D26,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,262.255,-60.18,B,90,DIODE
D27,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,281.305,-60.18,B,90,DIODE
