Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0402_1005Metric",182.125000,-109.975000,90.000000,bottom
"C2","15p","C_0402_1005Metric",150.375000,-118.505000,-90.000000,bottom
"C3","15p","C_0402_1005Metric",155.575000,-118.525000,90.000000,bottom
"C4","10u","C_0402_1005Metric",171.275000,-116.945000,90.000000,bottom
"C5","100n","C_0402_1005Metric",126.675000,-112.875000,0.000000,bottom
"C6","100n","C_0402_1005Metric",131.335000,-116.175000,180.000000,bottom
"C7","100n","C_0402_1005Metric",170.325000,-116.945000,90.000000,bottom
"C8","1u","C_0402_1005Metric",136.945000,-119.375000,180.000000,bottom
"C9","100n","C_0402_1005Metric",131.325000,-118.975000,180.000000,bottom
"C10","1u","C_0402_1005Metric",136.945000,-120.325000,180.000000,bottom
"C11","100n","C_0402_1005Metric",173.175000,-116.945000,90.000000,bottom
"C12","100n","C_0402_1005Metric",172.225000,-116.925000,90.000000,bottom
"C13","100n","C_0402_1005Metric",131.345000,-117.105000,180.000000,bottom
"C14","100n","C_0402_1005Metric",131.345000,-118.025000,180.000000,bottom
"C15","100n","C_0402_1005Metric",142.695000,-105.555000,90.000000,bottom
"C16","100n","C_0402_1005Metric",141.775000,-105.555000,90.000000,bottom
"D1","DIODE","D_SOD-123",43.180000,-41.750000,90.000000,bottom
"D2","DIODE","D_SOD-123",62.230000,-41.750000,90.000000,bottom
"D3","DIODE","D_SOD-123",81.280000,-41.750000,90.000000,bottom
"D4","DIODE","D_SOD-123",100.330000,-41.750000,90.000000,bottom
"D5","DIODE","D_SOD-123",119.380000,-41.750000,90.000000,bottom
"D6","DIODE","D_SOD-123",138.430000,-41.750000,90.000000,bottom
"D7","DIODE","D_SOD-123",157.480000,-41.750000,90.000000,bottom
"D8","DIODE","D_SOD-123",176.530000,-41.750000,90.000000,bottom
"D9","DIODE","D_SOD-123",195.580000,-41.750000,90.000000,bottom
"D10","DIODE","D_SOD-123",214.630000,-41.750000,90.000000,bottom
"D11","DIODE","D_SOD-123",233.680000,-41.750000,90.000000,bottom
"D12","DIODE","D_SOD-123",252.730000,-41.750000,90.000000,bottom
"D13","DIODE","D_SOD-123",271.780000,-41.750000,90.000000,bottom
"D14","DIODE","D_SOD-123",300.355000,-41.750000,90.000000,bottom
"D15","DIODE","D_SOD-123",47.942500,-60.800000,90.000000,bottom
"D16","DIODE","D_SOD-123",71.755000,-60.800000,90.000000,bottom
"D17","DIODE","D_SOD-123",90.805000,-60.800000,90.000000,bottom
"D18","DIODE","D_SOD-123",109.855000,-60.800000,90.000000,bottom
"D19","DIODE","D_SOD-123",128.905000,-60.800000,90.000000,bottom
"D20","DIODE","D_SOD-123",147.955000,-60.800000,90.000000,bottom
"D21","DIODE","D_SOD-123",167.005000,-60.800000,90.000000,bottom
"D22","DIODE","D_SOD-123",186.055000,-60.800000,90.000000,bottom
"D23","DIODE","D_SOD-123",205.105000,-60.800000,90.000000,bottom
"D24","DIODE","D_SOD-123",224.155000,-60.800000,90.000000,bottom
"D25","DIODE","D_SOD-123",243.205000,-60.800000,90.000000,bottom
"D26","DIODE","D_SOD-123",262.255000,-60.800000,90.000000,bottom
"D27","DIODE","D_SOD-123",281.305000,-60.800000,90.000000,bottom
"D28","DIODE","D_SOD-123",307.498750,-70.325000,90.000000,bottom
"D29","DIODE","D_SOD-123",50.323750,-79.850000,90.000000,bottom
"D30","DIODE","D_SOD-123",76.517500,-79.850000,90.000000,bottom
"D31","DIODE","D_SOD-123",95.567500,-79.850000,90.000000,bottom
"D32","DIODE","D_SOD-123",114.617500,-79.850000,90.000000,bottom
"D33","DIODE","D_SOD-123",133.667500,-79.850000,90.000000,bottom
"D34","DIODE","D_SOD-123",152.717500,-79.850000,90.000000,bottom
"D35","DIODE","D_SOD-123",171.767500,-79.850000,90.000000,bottom
"D36","DIODE","D_SOD-123",190.817500,-79.850000,90.000000,bottom
"D37","DIODE","D_SOD-123",209.867500,-79.850000,90.000000,bottom
"D38","DIODE","D_SOD-123",228.917500,-79.850000,90.000000,bottom
"D39","DIODE","D_SOD-123",247.967500,-79.850000,90.000000,bottom
"D40","DIODE","D_SOD-123",267.017500,-79.850000,90.000000,bottom
"D41","DIODE","D_SOD-123",286.067500,-79.850000,90.000000,bottom
"D42","DIODE","D_SOD-123",45.561250,-98.900000,90.000000,bottom
"D43","DIODE","D_SOD-123",66.992500,-98.900000,90.000000,bottom
"D44","DIODE","D_SOD-123",86.042500,-98.900000,90.000000,bottom
"D45","DIODE","D_SOD-123",105.092500,-98.900000,90.000000,bottom
"D46","DIODE","D_SOD-123",124.142500,-98.900000,90.000000,bottom
"D47","DIODE","D_SOD-123",143.192500,-98.900000,90.000000,bottom
"D48","DIODE","D_SOD-123",162.242500,-98.900000,90.000000,bottom
"D49","DIODE","D_SOD-123",181.292500,-98.900000,90.000000,bottom
"D50","DIODE","D_SOD-123",200.342500,-98.900000,90.000000,bottom
"D51","DIODE","D_SOD-123",219.392500,-98.900000,90.000000,bottom
"D52","DIODE","D_SOD-123",238.442500,-98.900000,90.000000,bottom
"D53","DIODE","D_SOD-123",257.492500,-98.900000,90.000000,bottom
"D54","DIODE","D_SOD-123",293.211250,-98.900000,90.000000,bottom
"D55","DIODE","D_SOD-123",45.561250,-117.950000,90.000000,bottom
"D56","DIODE","D_SOD-123",69.373750,-117.950000,90.000000,bottom
"D57","DIODE","D_SOD-123",93.186250,-117.950000,90.000000,bottom
"D58","DIODE","D_SOD-123",164.623750,-117.950000,90.000000,bottom
"D59","DIODE","D_SOD-123",236.061250,-117.950000,90.000000,bottom
"D60","DIODE","D_SOD-123",259.873750,-117.950000,90.000000,bottom
"D61","DIODE","D_SOD-123",283.686250,-117.950000,90.000000,bottom
"D62","DIODE","D_SOD-123",307.498750,-117.950000,90.000000,bottom
"J3","Conn_01x04","Molex_200528-0040_1x04-1MP_P1.00mm_Horizontal",192.425000,-110.315000,0.000000,bottom
"R1","1k","R_0402_1005Metric",132.275000,-107.625000,180.000000,bottom
"R2","DNF","R_0402_1005Metric",126.685000,-106.175000,0.000000,bottom
"R3","27.4","R_0402_1005Metric",136.965000,-117.475000,0.000000,bottom
"R4","27.4","R_0402_1005Metric",136.965000,-118.425000,0.000000,bottom
"R5","1k","R_0402_1005Metric",152.965000,-120.725000,180.000000,bottom
"U1","NCP1117-3.3_SOT223","SOT-223",176.425000,-109.975000,180.000000,bottom
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",126.675000,-109.525000,180.000000,bottom
"U3","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",144.225000,-116.112500,-90.000000,bottom
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",152.975000,-118.525000,180.000000,bottom
"S1","MX1A","SW_Hotswap_Kailh_MX_1.00u",38.100000,-38.100000,0.000000,top
"S2","MX1A","SW_Hotswap_Kailh_MX_1.00u",57.150000,-38.100000,0.000000,top
"S3","MX1A","SW_Hotswap_Kailh_MX_1.00u",76.200000,-38.100000,0.000000,top
"S4","MX1A","SW_Hotswap_Kailh_MX_1.00u",95.250000,-38.100000,0.000000,top
"S5","MX1A","SW_Hotswap_Kailh_MX_1.00u",114.300000,-38.100000,0.000000,top
"S6","MX1A","SW_Hotswap_Kailh_MX_1.00u",133.350000,-38.100000,0.000000,top
"S7","MX1A","SW_Hotswap_Kailh_MX_1.00u",152.400000,-38.100000,0.000000,top
"S8","MX1A","SW_Hotswap_Kailh_MX_1.00u",171.450000,-38.100000,0.000000,top
"S9","MX1A","SW_Hotswap_Kailh_MX_1.00u",190.500000,-38.100000,0.000000,top
"S10","MX1A","SW_Hotswap_Kailh_MX_1.00u",209.550000,-38.100000,0.000000,top
"S11","MX1A","SW_Hotswap_Kailh_MX_1.00u",228.600000,-38.100000,0.000000,top
"S12","MX1A","SW_Hotswap_Kailh_MX_1.00u",247.650000,-38.100000,0.000000,top
"S13","MX1A","SW_Hotswap_Kailh_MX_1.00u",266.700000,-38.100000,0.000000,top
"S14","MX1A","SW_Hotswap_Kailh_MX_2.00u",295.275000,-38.100000,0.000000,top
"S15","MX1A","SW_Hotswap_Kailh_MX_1.50u",42.862500,-57.150000,0.000000,top
"S16","MX1A","SW_Hotswap_Kailh_MX_1.00u",66.675000,-57.150000,0.000000,top
"S17","MX1A","SW_Hotswap_Kailh_MX_1.00u",85.725000,-57.150000,0.000000,top
"S18","MX1A","SW_Hotswap_Kailh_MX_1.00u",104.775000,-57.150000,0.000000,top
"S19","MX1A","SW_Hotswap_Kailh_MX_1.00u",123.825000,-57.150000,0.000000,top
"S20","MX1A","SW_Hotswap_Kailh_MX_1.00u",142.875000,-57.150000,0.000000,top
"S21","MX1A","SW_Hotswap_Kailh_MX_1.00u",161.925000,-57.150000,0.000000,top
"S22","MX1A","SW_Hotswap_Kailh_MX_1.00u",180.975000,-57.150000,0.000000,top
"S23","MX1A","SW_Hotswap_Kailh_MX_1.00u",200.025000,-57.150000,0.000000,top
"S24","MX1A","SW_Hotswap_Kailh_MX_1.00u",219.075000,-57.150000,0.000000,top
