Comment,Designator,Footprint,嘉立创元件编号
100n,C5,C_0402_1005Metric,C724032
100n,C6,C_0402_1005Metric,C724032
100n,C7,C_0402_1005Metric,C724032
100n,C9,C_0402_1005Metric,C724032
100n,C11,C_0402_1005Metric,C724032
100n,C12,C_0402_1005Metric,C724032
100n,C13,C_0402_1005Metric,C724032
100n,C14,C_0402_1005Metric,C724032
100n,C15,C_0402_1005Metric,C724032
100n,C16,C_0402_1005Metric,C724032
10u,C1,C_0402_1005Metric,
10u,C4,C_0402_1005Metric,
15p,C2,C_0402_1005Metric,
15p,C3,C_0402_1005Metric,
1u,C8,C_0402_1005Metric,
1u,C10,C_0402_1005Metric,
1k,R1,R_0402_1005Metric,
1k,R5,R_0402_1005Metric,
27.4,R3,R_0402_1005Metric,
27.4,R4,R_0402_1005Metric,
DNF,R2,R_0402_1005Metric,
DIODE,D1,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D2,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D3,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D4,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D5,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D6,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D7,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D8,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D9,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D10,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D11,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D12,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D13,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D14,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D15,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D16,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D17,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D18,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D19,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D20,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D21,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D22,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D23,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D24,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D25,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D26,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D27,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D28,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D29,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D30,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D31,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D32,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D33,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D34,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D35,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D36,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D37,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D38,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D39,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D40,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D41,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D42,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D43,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D44,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D45,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D46,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D47,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D48,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D49,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D50,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D51,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D52,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D53,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D54,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D55,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D56,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D57,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D58,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D59,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D60,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D61,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
DIODE,D62,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C109001
NCP1117-3.3_SOT223,U1,SOT-223,C20546
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C97521
RP2040,U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731
MX1A,S1,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S2,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S3,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S4,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S5,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S6,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S7,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S8,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S9,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S10,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S11,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S12,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S13,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S16,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S17,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S18,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S19,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S20,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S21,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S22,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S23,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S24,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S25,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S26,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S27,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S30,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S31,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S32,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S33,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S34,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S35,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S36,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S37,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S38,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S39,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S40,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S41,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S43,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S44,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S45,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S46,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S47,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S48,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S49,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S50,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S51,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S52,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S53,SW_Hotswap_Kailh_MX_1.00u,
MX1A,S42,SW_Hotswap_Kailh_MX_1.25u,
MX1A,S55,SW_Hotswap_Kailh_MX_1.25u,
