Comment,Designator,Footprint,LCSC
1u,C1,C_0402_1005Metric,
1u,C10,C_0402_1005Metric,
100n,C11,C_0402_1005Metric,
100n,C12,C_0402_1005Metric,
100n,C13,C_0402_1005Metric,
100n,C14,C_0402_1005Metric,
100n,C15,C_0402_1005Metric,
100n,C16,C_0402_1005Metric,
20p,C2,C_0402_1005Metric,
20p,C3,C_0402_1005Metric,
1u,C4,C_0402_1005Metric,
100n,C5,C_0402_1005Metric,
100n,C6,C_0402_1005Metric,
100n,C7,C_0402_1005Metric,
1u,C8,C_0402_1005Metric,
100n,C9,C_0402_1005Metric,
DIODE,D1,D_SOD-123,C81598
DIODE,D10,D_SOD-123,C81598
DIODE,D11,D_SOD-123,C81598
DIODE,D12,D_SOD-123,C81598
DIODE,D13,D_SOD-123,C81598
DIODE,D14,D_SOD-123,C81598
DIODE,D15,D_SOD-123,C81598
DIODE,D16,D_SOD-123,C81598
DIODE,D17,D_SOD-123,C81598
DIODE,D18,D_SOD-123,C81598
DIODE,D19,D_SOD-123,C81598
DIODE,D2,D_SOD-123,C81598
DIODE,D20,D_SOD-123,C81598
DIODE,D21,D_SOD-123,C81598
DIODE,D22,D_SOD-123,C81598
DIODE,D23,D_SOD-123,C81598
DIODE,D24,D_SOD-123,C81598
DIODE,D25,D_SOD-123,C81598
DIODE,D26,D_SOD-123,C81598
DIODE,D27,D_SOD-123,C81598
DIODE,D28,D_SOD-123,C81598
DIODE,D29,D_SOD-123,C81598
DIODE,D3,D_SOD-123,C81598
DIODE,D30,D_SOD-123,C81598
DIODE,D31,D_SOD-123,C81598
DIODE,D32,D_SOD-123,C81598
DIODE,D33,D_SOD-123,C81598
DIODE,D34,D_SOD-123,C81598
DIODE,D35,D_SOD-123,C81598
DIODE,D36,D_SOD-123,C81598
DIODE,D37,D_SOD-123,C81598
DIODE,D38,D_SOD-123,C81598
DIODE,D39,D_SOD-123,C81598
DIODE,D4,D_SOD-123,C81598
DIODE,D40,D_SOD-123,C81598
DIODE,D41,D_SOD-123,C81598
DIODE,D42,D_SOD-123,C81598
DIODE,D43,D_SOD-123,C81598
DIODE,D44,D_SOD-123,C81598
DIODE,D45,D_SOD-123,C81598
DIODE,D46,D_SOD-123,C81598
DIODE,D47,D_SOD-123,C81598
DIODE,D48,D_SOD-123,C81598
DIODE,D49,D_SOD-123,C81598
DIODE,D5,D_SOD-123,C81598
DIODE,D50,D_SOD-123,C81598
DIODE,D51,D_SOD-123,C81598
DIODE,D52,D_SOD-123,C81598
DIODE,D53,D_SOD-123,C81598
DIODE,D54,D_SOD-123,C81598
DIODE,D55,D_SOD-123,C81598
DIODE,D56,D_SOD-123,C81598
DIODE,D57,D_SOD-123,C81598
DIODE,D58,D_SOD-123,C81598
DIODE,D59,D_SOD-123,C81598
DIODE,D6,D_SOD-123,C81598
DIODE,D60,D_SOD-123,C81598
DIODE,D61,D_SOD-123,C81598
DIODE,D62,D_SOD-123,C81598
DIODE,D63,D_SOD-123,C81598
DIODE,D64,D_SOD-123,C81598
DIODE,D7,D_SOD-123,C81598
DIODE,D8,D_SOD-123,C81598
DIODE,D9,D_SOD-123,C81598
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,
Conn_01x02,J2,PinHeader_1x02_P1.27mm_Vertical,
1k,R1,R_0402_1005Metric,
27.4,R3,R_0402_1005Metric,
27.4,R4,R_0402_1005Metric,
1k,R5,R_0402_1005Metric,
5K1,R6,R_0402_1005Metric,
5K1,R7,R_0402_1005Metric,
MX1A,S1,SW_Hotswap_Kailh_MX_Plated_1.00u,C41430893
MX1A,S10,SW_Hotswap_Kailh_MX_Plated_1.00u,C41430893
MX1A,S11,SW_Hotswap_Kailh_MX_Plated_1.00u,C41430893
MX1A,S12,SW_Hotswap_Kailh_MX_Plated_1.00u,C41430893
MX1A,S13,SW_Hotswap_Kailh_MX_Plated_1.00u,C41430893
MX1A,S14,SW_Hotswap_Kailh_MX_Plated_2.00u,C41430893
MX1A,S14-2,SW_Hotswap_Kailh_MX_Plated_1.00u,C41430893
MX1A,S15,SW_Hotswap_Kailh_MX_Plated_1.50u,C41430893
