Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,0402,87.3,-81.18,270,bottom
C10,1u,0402,100.875,-89.025,0,bottom
C11,100n,0402,104.245,-89.985,0,bottom
C12,100n,0402,107.845,-89.985,0,bottom
C13,100n,0402,113.425,-87.015,270,bottom
C14,100n,0402,108.725,-78.575,90,bottom
C15,100n,0402,102.875,-78.575,45,bottom
C16,100n,0402,100.875,-85.025,0,bottom
C2,20p,0402,116.525,-82.375,180,bottom
C3,20p,0402,119.275,-84.625,90,bottom
C4,1u,0402,93.5,-81.17,90,bottom
C5,100n,0402,96.34,-80.69,0,bottom
C6,100n,0402,112.425,-87.015,270,bottom
C7,100n,0402,100.875,-84.025,0,bottom
C8,1u,0402,100.875,-88.025,0,bottom
C9,100n,0402,102.355,-89.505,270,bottom
D1,DIODE,D_SOD-123,4.445,-6.295,270,bottom
D10,DIODE,D_SOD-123,175.895,-12.755,90,bottom
D11,DIODE,D_SOD-123,194.945,-12.755,90,bottom
D12,DIODE,D_SOD-123,213.995,-12.755,90,bottom
D13,DIODE,D_SOD-123,233.045,-12.755,90,bottom
D14,DIODE,D_SOD-123,247.175,-12.755,90,bottom
D15,DIODE,D_SOD-123,9.2075,-31.805,90,bottom
D16,DIODE,D_SOD-123,33.02,-31.805,90,bottom
D17,DIODE,D_SOD-123,52.07,-31.805,90,bottom
D18,DIODE,D_SOD-123,71.12,-31.805,90,bottom
D19,DIODE,D_SOD-123,90.17,-31.805,90,bottom
D2,DIODE,D_SOD-123,33.655,-6.295,270,bottom
D20,DIODE,D_SOD-123,109.22,-31.805,90,bottom
D21,DIODE,D_SOD-123,128.27,-31.805,90,bottom
D22,DIODE,D_SOD-123,147.32,-31.805,90,bottom
D23,DIODE,D_SOD-123,166.37,-31.805,90,bottom
D24,DIODE,D_SOD-123,185.42,-31.805,90,bottom
D25,DIODE,D_SOD-123,204.47,-31.805,90,bottom
D26,DIODE,D_SOD-123,223.52,-31.805,90,bottom
D27,DIODE,D_SOD-123,242.57,-31.805,90,bottom
D28,DIODE,D_SOD-123,255.4625,-33.455,180,bottom
D29,DIODE,D_SOD-123,26.66875,-50.855,90,bottom
D3,DIODE,D_SOD-123,42.545,-12.755,90,bottom
D30,DIODE,D_SOD-123,37.7825,-50.855,90,bottom
D31,DIODE,D_SOD-123,56.8325,-50.855,90,bottom
D32,DIODE,D_SOD-123,75.8825,-50.855,90,bottom
D33,DIODE,D_SOD-123,94.9325,-50.855,90,bottom
D34,DIODE,D_SOD-123,113.9825,-50.855,90,bottom
D35,DIODE,D_SOD-123,133.0325,-50.855,90,bottom
D36,DIODE,D_SOD-123,152.0825,-50.855,90,bottom
D37,DIODE,D_SOD-123,171.1325,-50.855,90,bottom
D38,DIODE,D_SOD-123,190.1825,-50.855,90,bottom
D39,DIODE,D_SOD-123,209.2325,-50.855,90,bottom
D4,DIODE,D_SOD-123,61.595,-12.755,90,bottom
D40,DIODE,D_SOD-123,228.2825,-50.855,90,bottom
D41,DIODE,D_SOD-123,242.4125,-54.155,270,bottom
D42,DIODE,D_SOD-123,255.4625,-28.575,90,bottom
D43,DIODE,D_SOD-123,38.4175,-69.905,90,bottom
D44,DIODE,D_SOD-123,42.8625,-69.905,90,bottom
D45,DIODE,D_SOD-123,47.3075,-69.905,90,bottom
D46,DIODE,D_SOD-123,66.3575,-69.905,90,bottom
D47,DIODE,D_SOD-123,85.4075,-69.905,90,bottom
D48,DIODE,D_SOD-123,104.4575,-69.905,90,bottom
D49,DIODE,D_SOD-123,123.5075,-69.905,90,bottom
D5,DIODE,D_SOD-123,80.645,-12.755,90,bottom
D50,DIODE,D_SOD-123,142.5575,-69.905,90,bottom
D51,DIODE,D_SOD-123,161.6075,-69.905,90,bottom
D52,DIODE,D_SOD-123,180.6575,-69.905,90,bottom
D53,DIODE,D_SOD-123,199.7075,-69.905,90,bottom
D54,DIODE,D_SOD-123,218.7575,-69.905,90,bottom
D55,DIODE,D_SOD-123,238,-71.555,180,bottom
D56,DIODE,D_SOD-123,271.145,-66.675,90,bottom
D57,DIODE,D_SOD-123,24.2875,-78.995,270,bottom
D58,DIODE,D_SOD-123,48.1,-78.995,270,bottom
D59,DIODE,D_SOD-123,71.9125,-78.995,270,bottom
D6,DIODE,D_SOD-123,99.695,-12.755,90,bottom
D60,DIODE,D_SOD-123,125.88875,-88.955,90,bottom
D61,DIODE,D_SOD-123,197.32625,-88.955,90,bottom
D62,DIODE,D_SOD-123,213.8375,-78.995,270,bottom
D63,DIODE,D_SOD-123,237.65,-78.995,270,bottom
D64,DIODE,D_SOD-123,261.4625,-78.995,270,bottom
D7,DIODE,D_SOD-123,118.745,-12.755,90,bottom
D8,DIODE,D_SOD-123,137.795,-12.755,90,bottom
D9,DIODE,D_SOD-123,156.845,-12.755,90,bottom
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,18.575,-3.64,180,bottom
J2,Conn_01x02,PinHeader_1x02_P1.27mm_Vertical,96.495,-78.425,90,bottom
R1,1k,0402,99.38,-78.425,180,bottom
R3,27.4,0402,100.875,-86.025,180,bottom
R4,27.4,0402,100.875,-87.025,180,bottom
R5,1k,0402,116.525,-86.875,0,bottom
R6,5K1,0402,16.815,-8.675,0,bottom
R7,5K1,0402,20.835,-8.675,180,bottom
S1,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,10.1465,-11.965,180,bottom
S10,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,180.3535,-7.085,0,bottom
S11,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,199.4035,-7.085,0,bottom
S12,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,218.4535,-7.085,0,bottom
S13,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,237.5035,-7.085,0,bottom
S14,MX1A,SW_Hotswap_Kailh_MX_Plated_2.00u,266.0785,-7.085,0,bottom
S14-2,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,276.8465,-11.965,180,bottom
S15,MX1A,SW_Hotswap_Kailh_MX_Plated_1.50u,13.666,-26.135,0,bottom
S16,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,37.4785,-26.135,0,bottom
S17,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,56.5285,-26.135,0,bottom
S18,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,75.5785,-26.135,0,bottom
S19,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,94.6285,-26.135,0,bottom
S2,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,29.1965,-11.965,180,bottom
S20,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,113.6785,-26.135,0,bottom
S21,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,132.7285,-26.135,0,bottom
S22,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,151.7785,-26.135,0,bottom
S23,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,170.8285,-26.135,0,bottom
S24,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,189.8785,-26.135,0,bottom
S25,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,208.9285,-26.135,0,bottom
S26,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,227.9785,-26.135,0,bottom
S27,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,247.0285,-26.135,0,bottom
S28,MX1A,SW_Hotswap_Kailh_MX_Plated_ISOEnter_90deg,271.40375,-38.7215,90,bottom
S28-2,MX1A,SW_Hotswap_Kailh_MX_Plated_2.25u_90deg,261.87875,-48.2465,90,bottom
S29,MX1A,SW_Hotswap_Kailh_MX_Plated_1.75u,17.29025,-50.065,180,bottom
S29-2,MX1A,SW_Hotswap_Kailh_MX_Plated_1.25u,11.28475,-45.185,0,bottom
S3,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,47.0035,-7.085,0,bottom
S30,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,42.241,-45.185,0,bottom
S31,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,61.291,-45.185,0,bottom
S32,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,80.341,-45.185,0,bottom
S33,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,99.391,-45.185,0,bottom
S34,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,118.441,-45.185,0,bottom
S35,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,137.491,-45.185,0,bottom
S36,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,156.541,-45.185,0,bottom
S37,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,175.591,-45.185,0,bottom
S38,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,194.641,-45.185,0,bottom
S39,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,213.691,-45.185,0,bottom
S4,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,66.0535,-7.085,0,bottom
S40,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,232.741,-45.185,0,bottom
S41,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,249.9725,-48.2465,90,bottom
S41-2,MX1A,SW_Hotswap_Kailh_MX_Plated_1.50u_90deg,273.9025,-27.9535,-90,bottom
S42,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,257.7965,-11.8275,180,bottom
S43,MX1A,SW_Hotswap_Kailh_MX_Plated_1.25u,11.28475,-64.235,0,bottom
S43-2,MX1A,SW_Hotswap_Kailh_MX_Plated_2.25u,22.05275,-69.115,180,bottom
S44,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,32.716,-64.235,0,bottom
S45,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,51.766,-64.235,0,bottom
S46,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,70.816,-64.235,0,bottom
S47,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,89.866,-64.235,0,bottom
S48,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,108.916,-64.235,0,bottom
S49,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,127.966,-64.235,0,bottom
S5,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,85.1035,-7.085,0,bottom
S50,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,147.016,-64.235,0,bottom
S51,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,166.066,-64.235,0,bottom
S52,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,185.116,-64.235,0,bottom
S53,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,204.166,-64.235,0,bottom
S54,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,223.216,-64.235,0,bottom
S55,MX1A,SW_Hotswap_Kailh_MX_Plated_1.75u,250.65275,-68.9775,180,bottom
S55-2,MX1A,SW_Hotswap_Kailh_MX_Plated_2.75u,258.93475,-64.235,0,bottom
S56,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,278.665,-66.0535,-90,bottom
S57,MX1A,SW_Hotswap_Kailh_MX_Plated_1.25u,11.28475,-83.285,0,bottom
S57-2,MX1A,SW_Hotswap_Kailh_MX_Plated_1.50u,14.909,-88.165,180,bottom
S58,MX1A,SW_Hotswap_Kailh_MX_Plated_1.25u,35.09725,-83.285,0,bottom
S58-2,MX1A,SW_Hotswap_Kailh_MX_Plated_1.00u,38.7215,-88.165,180,bottom
S59,MX1A,SW_Hotswap_Kailh_MX_Plated_1.25u,58.90975,-83.285,0,bottom
