Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,1u,0402,99.2,-85.81,270,bottom
C11,100n,0402,111.74,-82.19,180,bottom
C12,100n,0402,110.273472,-91.437519,270,bottom
C13,100n,0402,98.5,-88.61,0,bottom
C14,100n,0402,92.96,-85.93,270,bottom
C15,100n,0402,98.14,-85.81,270,bottom
C16,100n,0402,93.97,-85.93,270,bottom
C17,1u,0402,85.81,-78.66,180,bottom
C18,1u,0402,88.49,-81.32,90,bottom
C2,20p,0402,113.71,-89.13,270,bottom
C3,20p,0402,119.4,-89.17,90,bottom
C5,100n,0402,107.11,-78.27,90,bottom
C6,100n,0402,109.223472,-91.437519,270,bottom
C7,100n,0402,97.11,-85.8,270,bottom
C8,1u,0402,91.91,-85.92,270,bottom
C9,100n,0402,102.8,-91.95,270,bottom
D1,DIODE,D_SOD-323_HandSoldering,16.87,-16.62,90,bottom
D10,DIODE,D_SOD-323_HandSoldering,188.974999,-16.725,90,bottom
D11,DIODE,D_SOD-323_HandSoldering,208.024999,-16.725,90,bottom
D12,DIODE,D_SOD-323_HandSoldering,227.074999,-16.725,90,bottom
D13,DIODE,D_SOD-323_HandSoldering,246.124999,-16.725,90,bottom
D14,DIODE,D_SOD-323_HandSoldering,274.699999,-16.725,90,bottom
D15,DIODE,D_SOD-323_HandSoldering,22.287499,-35.775,90,bottom
D16,DIODE,D_SOD-323_HandSoldering,46.099999,-35.775,90,bottom
D17,DIODE,D_SOD-323_HandSoldering,65.149999,-35.775,90,bottom
D18,DIODE,D_SOD-323_HandSoldering,84.199999,-35.775,90,bottom
D19,DIODE,D_SOD-323_HandSoldering,103.249999,-35.775,90,bottom
D2,DIODE,D_SOD-323_HandSoldering,36.574999,-16.725,90,bottom
D20,DIODE,D_SOD-323_HandSoldering,122.299999,-35.775,90,bottom
D21,DIODE,D_SOD-323_HandSoldering,141.349999,-35.775,90,bottom
D22,DIODE,D_SOD-323_HandSoldering,160.399999,-35.775,90,bottom
D23,DIODE,D_SOD-323_HandSoldering,179.449999,-35.775,90,bottom
D24,DIODE,D_SOD-323_HandSoldering,198.499999,-35.775,90,bottom
D25,DIODE,D_SOD-323_HandSoldering,217.549999,-35.775,90,bottom
D26,DIODE,D_SOD-323_HandSoldering,236.599999,-35.775,90,bottom
D27,DIODE,D_SOD-323_HandSoldering,255.649999,-35.775,90,bottom
D28,DIODE,D_SOD-323_HandSoldering,279.462499,-35.775,90,bottom
D29,DIODE,D_SOD-323_HandSoldering,24.668749,-54.825,90,bottom
D3,DIODE,D_SOD-323_HandSoldering,57.19,-15.39,90,bottom
D30,DIODE,D_SOD-323_HandSoldering,50.862499,-54.825,90,bottom
D31,DIODE,D_SOD-323_HandSoldering,69.912499,-54.825,90,bottom
D32,DIODE,D_SOD-323_HandSoldering,88.962499,-54.825,90,bottom
D33,DIODE,D_SOD-323_HandSoldering,108.012499,-54.825,90,bottom
D34,DIODE,D_SOD-323_HandSoldering,127.062499,-54.825,90,bottom
D35,DIODE,D_SOD-323_HandSoldering,146.112499,-54.825,90,bottom
D36,DIODE,D_SOD-323_HandSoldering,165.162499,-54.825,90,bottom
D37,DIODE,D_SOD-323_HandSoldering,184.212499,-54.825,90,bottom
D38,DIODE,D_SOD-323_HandSoldering,203.262499,-54.825,90,bottom
D39,DIODE,D_SOD-323_HandSoldering,222.312499,-54.825,90,bottom
D4,DIODE,D_SOD-323_HandSoldering,74.674999,-16.725,90,bottom
D40,DIODE,D_SOD-323_HandSoldering,241.362499,-54.825,90,bottom
D41,DIODE,D_SOD-323_HandSoldering,272.318749,-54.825,90,bottom
D42,DIODE,D_SOD-323_HandSoldering,29.431249,-73.875,90,bottom
D43,DIODE,D_SOD-323_HandSoldering,60.387499,-73.875,90,bottom
D44,DIODE,D_SOD-323_HandSoldering,81.13,-72.96,90,bottom
