Designator,Mid X,Mid Y,Rotation,Layer
AE1,4.720396,-33.418099,270.0,bottom
BT1,201.208,-32.221,0.0,bottom
C1,31.672,-34.873,270.0,bottom
C10,35.35,-37.075,270.0,bottom
C11,53.388,-12.299,90.0,bottom
C12,20.222,-39.436,0.0,bottom
C13,21.668,-39.946,270.0,bottom
C14,21.66,-35.34,0.0,bottom
C15,23.6,-33.35,90.0,bottom
C16,18.836,-37.014,0.0,bottom
C17,20.52,-38.23,0.0,bottom
C18,32.3,-41.95,180.0,bottom
C19,30.718,-34.871,90.0,bottom
C2,21.209,-41.656,180.0,bottom
C20,26.7,-46.15,270.0,bottom
C21,24.54,-34.84,90.0,bottom
C22,23.1,-46.0,270.0,bottom
C23,60.227,-18.083,0.0,bottom
C24,8.246,-38.441,0.0,bottom
C3,32.3,-42.95,0.0,bottom
C4,21.126,-36.904,180.0,bottom
C5,29.634,-46.196,90.0,bottom
C6,30.641,-46.205,90.0,bottom
C7,31.84,-45.88,270.0,bottom
C8,35.307,-35.034,270.0,bottom
C9,20.7,-14.94,270.0,bottom
D1,18.098,-12.502,180.0,bottom
D10,156.845,-13.775,90.0,bottom
D11,175.895,-13.775,90.0,bottom
D12,194.945,-13.775,90.0,bottom
D13,213.995,-13.775,90.0,bottom
D14,233.045,-13.775,90.0,bottom
D14-1,248.65,-17.8,180.0,bottom
D15,249.49,-5.1725,270.0,bottom
D16,10.986,-32.977,90.0,bottom
D17,40.835,-32.821,90.0,bottom
D18,52.07,-32.825,90.0,bottom
D19,71.12,-32.825,90.0,bottom
D2,37.349,-13.7735,90.0,bottom
D20,90.17,-32.825,90.0,bottom
D21,109.22,-32.825,90.0,bottom
D22,128.27,-32.825,90.0,bottom
D23,147.32,-32.825,90.0,bottom
D24,166.37,-32.825,90.0,bottom
D25,185.42,-32.825,90.0,bottom
D26,212.946,-32.887,90.0,bottom
D27,223.52,-32.825,90.0,bottom
D28,242.43,-32.825,90.0,bottom
D29,261.53,-23.64,180.0,bottom
D3,39.89,-13.77,90.0,bottom
D30,25.95,-53.8,0.0,bottom
D31,37.7825,-51.855,90.0,bottom
D32,56.8325,-51.855,90.0,bottom
D33,75.8825,-51.855,90.0,bottom
D34,94.9325,-51.855,90.0,bottom
D35,113.9825,-51.855,90.0,bottom
D36,133.0325,-51.855,90.0,bottom
D37,152.0825,-51.855,90.0,bottom
D38,171.1325,-51.855,90.0,bottom
D39,190.1825,-51.855,90.0,bottom
D4,42.545,-13.775,90.0,bottom
D40,209.2325,-51.855,90.0,bottom
D41,228.2825,-51.855,90.0,bottom
D42,242.4125,-54.155,270.0,bottom
D43,242.39,-48.3675,90.0,bottom
D44,38.4175,-70.905,90.0,bottom
D45,42.8625,-70.905,90.0,bottom
D46,47.3075,-70.905,90.0,bottom
D47,66.3575,-70.905,90.0,bottom
D48,85.4075,-70.905,90.0,bottom
D49,104.4575,-70.905,90.0,bottom
D5,61.595,-13.775,90.0,bottom
D50,123.5075,-70.905,90.0,bottom
D51,142.5575,-70.905,90.0,bottom
D52,161.6075,-70.905,90.0,bottom
D53,180.6575,-70.905,90.0,bottom
D54,199.7075,-70.905,90.0,bottom
D55,218.7575,-70.905,90.0,bottom
D56,237.6,-70.9,90.0,bottom
D57,264.4,-70.9,90.0,bottom
D58,24.2875,-78.995,270.0,bottom
D59,48.1,-78.995,270.0,bottom
D6,80.645,-13.775,90.0,bottom
D60,71.9125,-78.995,270.0,bottom
D61,98.484,-76.006,270.0,bottom
D62,127.798,-75.6785,270.0,bottom
D63,163.643,-77.077,270.0,bottom
D64,211.397,-78.9745,270.0,bottom
D65,213.8375,-78.995,270.0,bottom
D66,237.65,-78.995,270.0,bottom
D67,261.4625,-78.995,270.0,bottom
D7,99.695,-13.775,90.0,bottom
D8,118.745,-13.775,90.0,bottom
D9,137.795,-13.775,90.0,bottom
J1,110.719,-75.953,90.0,bottom
J2,114.567,-85.347,90.0,bottom
J3,18.575,-2.5,180.0,bottom
L1,32.81,-44.13,180.0,bottom
L2,29.405,-34.301,90.0,bottom
L3,20.229,-40.416,180.0,bottom
L6,28.016,-34.877,270.0,bottom
R1,22.27,-10.91,180.0,bottom
R2,23.979,-11.379,270.0,bottom
R3,54.8,-9.11,90.0,bottom
R4,8.248,-39.432,180.0,bottom
R5,28.650793,-46.155,270.0,bottom
R6,27.730793,-46.155,270.0,bottom
R7,16.46,-8.69,270.0,bottom
R8,20.33,-8.92,270.0,bottom
S1,9.525,-9.525,90.0,bottom
S10,180.975,-9.525,0.0,bottom
S11,200.025,-9.525,0.0,bottom
S12,219.075,-9.525,0.0,bottom
S13,238.125,-9.525,0.0,bottom
S14,266.7,-9.525,0.0,bottom
S14-1,276.225,-9.525,180.0,bottom
S14-2,257.175,-9.525,180.0,bottom
S15,14.2875,-28.575,0.0,bottom
S16,38.1,-28.575,0.0,bottom
S17,57.15,-28.575,0.0,bottom
S18,76.2,-28.575,0.0,bottom
S19,95.25,-28.575,0.0,bottom
S2,28.575,-9.525,270.0,bottom
S20,114.3,-28.575,0.0,bottom
S21,133.35,-28.575,0.0,bottom
S22,152.4,-28.575,0.0,bottom
S23,171.45,-28.575,0.0,bottom
S24,190.5,-28.575,0.0,bottom
S25,209.55,-28.575,0.0,bottom
S26,228.6,-28.575,0.0,bottom
S27,247.65,-28.575,0.0,bottom
S28,271.4625,-28.575,270.0,bottom
S29,252.4125,-47.625,90.0,bottom
S29-1,11.90625,-47.625,0.0,bottom
S3,47.625,-9.525,0.0,bottom
S30,16.66875,-47.625,180.0,bottom
S31,42.8625,-47.625,0.0,bottom
S32,61.9125,-47.625,0.0,bottom
S33,80.9625,-47.625,0.0,bottom
S34,100.0125,-47.625,0.0,bottom
S35,119.0625,-47.625,0.0,bottom
S36,138.1125,-47.625,0.0,bottom
S37,157.1625,-47.625,0.0,bottom
S38,176.2125,-47.625,0.0,bottom
S39,195.2625,-47.625,0.0,bottom
S4,66.675,-9.525,0.0,bottom
S40,214.3125,-47.625,0.0,bottom
S41,233.3625,-47.625,0.0,bottom
S41-1,273.84375,-38.1,90.0,bottom
S42,264.31875,-47.625,90.0,bottom
S43,11.90625,-66.675,0.0,bottom
S43-1,21.43125,-66.675,180.0,bottom
S44,33.3375,-66.675,0.0,bottom
S45,52.3875,-66.675,0.0,bottom
S46,71.4375,-66.675,0.0,bottom
S47,90.4875,-66.675,0.0,bottom
S48,109.5375,-66.675,0.0,bottom
S49,128.5875,-66.675,0.0,bottom
S5,85.725,-9.525,0.0,bottom
S50,147.6375,-66.675,0.0,bottom
S51,166.6875,-66.675,0.0,bottom
S52,185.7375,-66.675,0.0,bottom
S53,204.7875,-66.675,0.0,bottom
S54,223.8375,-66.675,0.0,bottom
S55,250.03125,-66.675,180.0,bottom
S55-1,259.55625,-66.675,0.0,bottom
S56,276.225,-66.675,180.0,bottom
S57,126.20625,-85.725,0.0,bottom
S57-1,14.2875,-85.725,180.0,bottom
S58-1,38.1,-85.725,180.0,bottom
S59,11.90625,-85.725,0.0,bottom
S59-1,61.9125,-85.725,180.0,bottom
S6,104.775,-9.525,0.0,bottom
S60,59.53125,-85.725,0.0,bottom
S60-1,142.875,-85.725,0.0,bottom
S60-1-A1,92.86875,-85.725,90.0,bottom
S60-1-A2,104.775,-85.725,0.0,bottom
S60-1-B1,164.30625,-85.725,90.0,bottom
S60-1-B2,180.975,-85.725,0.0,bottom
S60-2,130.96875,-85.725,180.0,bottom
S61,202.40625,-85.725,0.0,bottom
S62,226.21875,-85.725,180.0,bottom
S62-1,223.8375,-85.725,0.0,bottom
S63,250.03125,-85.725,180.0,bottom
S63-1,247.65,-85.725,0.0,bottom
S64,273.84375,-85.725,180.0,bottom
S64-1,271.4625,-85.725,0.0,bottom
S65,35.71875,-85.725,0.0,bottom
S7,123.825,-9.525,0.0,bottom
S8,142.875,-9.525,0.0,bottom
S9,161.925,-9.525,0.0,bottom
U1,55.994,-11.815,180.0,bottom
U2,26.75,-40.45,0.0,bottom
U4,22.64,-13.9025,180.0,bottom
X1,33.523,-36.096,270.0,bottom
X2,21.67,-33.44,90.0,bottom
